S.No.,Combination,Mean Absolute Error,Mean Squared Error
1,Ref/Doc,1.6101823728647546,2.7625018943318222
2,Cites/Docs(2years),0.3888522146901777,0.21352850138680762
3,Cites/Docs(2years)+Ref/Doc,1.1075994997134988,1.3735494850622325
4,Citable Docs(3years),0.8173709677419354,0.8379099193548389
5,Citable Docs(3years)+Ref/Doc,2.664901785981629,7.271516149375522
6,Citable Docs(3years)+Cites/Docs(2years),0.9372506745803005,1.0482534474486802
7,Citable Docs(3years)+Cites/Docs(2years)+Ref/Doc,2.2872328132917934,5.4012485626461455
8,Total Cites(3years),10.190986324187248,104.02601688021896
9,Total Cites(3years)+Ref/Doc,0.3478370328981273,0.23059008816553103
10,Total Cites(3years)+Cites/Docs(2years),0.36519831276114667,0.2511427171867289
11,Total Cites(3years)+Cites/Docs(2years)+Ref/Doc,14.017091208161325,196.64866055836094
12,Total Cites(3years)+Citable Docs(3years),3.984224269186003e+16,1.587404302717078e+33
13,Total Cites(3years)+Citable Docs(3years)+Ref/Doc,50.740194769716155,2574.737179889176
14,Total Cites(3years)+Citable Docs(3years)+Cites/Docs(2years),8.10859652949482,65.91915229858287
15,Total Cites(3years)+Citable Docs(3years)+Cites/Docs(2years)+Ref/Doc,1.4208513689009288,2.1886332329550937
16,Total Refs,4.329402340058359,18.913539242550225
17,Total Refs+Ref/Doc,1.081762724890602,1.3156789247512386
18,Total Refs+Cites/Docs(2years),1.122723228496183,1.4080858664519267
19,Total Refs+Cites/Docs(2years)+Ref/Doc,1.6906590438623958,3.0281426230411634
20,Total Refs+Citable Docs(3years)+Ref/Doc,8.73797753857595,76.52206608510521
21,Total Refs+Citable Docs(3years)+Cites/Docs(2years),820.6350757715223,673442.0974011538
22,Total Refs+Citable Docs(3years)+Cites/Docs(2years)+Ref/Doc,2.0571004223119584,4.4014767679234925
23,Total Refs+Total Cites(3years),3.1091201156907474e+18,9.666627893792847e+36
24,Total Refs+Total Cites(3years)+Ref/Doc,1443.9636238571027,2085031.1168371583
25,Total Refs+Total Cites(3years)+Cites/Docs(2years),108.50167295777166,11772.78284925569
26,Total Refs+Total Cites(3years)+Cites/Docs(2years)+Ref/Doc,1.2259002968823076,1.6567331098765685
27,Total Refs+Total Cites(3years)+Citable Docs(3years)+Ref/Doc,3.043423145848177e+17,9.26242444468441e+34
28,Total Refs+Total Cites(3years)+Citable Docs(3years)+Cites/Docs(2years),2.0515146371319402e+17,4.208712306366605e+34
29,Total Refs+Total Cites(3years)+Citable Docs(3years)+Cites/Docs(2years)+Ref/Doc,54.00941480709261,2917.1867024250428
30,Total Docs(3years),0.8173709677419354,0.8379099193548389
31,Total Docs(3years)+Ref/Doc,0.40986984842747964,0.2313524362366833
32,Total Docs(3years)+Cites/Docs(2years),0.5452994686895779,0.3768693457271806
33,Total Docs(3years)+Cites/Docs(2years)+Ref/Doc,0.8947535292253408,0.9348424041133417
34,Total Docs(3years)+Citable Docs(3years)+Ref/Doc,3.559112086699927,12.837093466140962
35,Total Docs(3years)+Citable Docs(3years)+Cites/Docs(2years),334.640303914251,111984.30281844258
36,Total Docs(3years)+Citable Docs(3years)+Cites/Docs(2years)+Ref/Doc,0.34112989651607234,0.18024550693276803
37,Total Docs(3years)+Total Cites(3years),1.4352368591068238e+16,2.059904841738831e+32
38,Total Docs(3years)+Total Cites(3years)+Ref/Doc,67.93617251001467,4615.493349930918
39,Total Docs(3years)+Total Cites(3years)+Cites/Docs(2years),14.07943643229033,198.40034487135185
40,Total Docs(3years)+Total Cites(3years)+Cites/Docs(2years)+Ref/Doc,0.9734249195099348,1.0881781312184442
41,Total Docs(3years)+Total Cites(3years)+Citable Docs(3years),2.2633136376704296e+32,5.122588622464964e+64
42,Total Docs(3years)+Total Cites(3years)+Citable Docs(3years)+Ref/Doc,6554892640701475.0,4.2966617531122475e+31
43,Total Docs(3years)+Total Cites(3years)+Citable Docs(3years)+Cites/Docs(2years),4.451648427060234e+16,1.9817173718147974e+33
44,Total Docs(3years)+Total Cites(3years)+Citable Docs(3years)+Cites/Docs(2years)+Ref/Doc,1.0335883845293683,1.2381195690814812
45,Total Docs(3years)+Total Refs,1.0874208415855695e+18,1.1824840867146636e+36
46,Total Docs(3years)+Total Refs+Ref/Doc,1.5775508598173376,2.6584813357578705
47,Total Docs(3years)+Total Refs+Cites/Docs(2years),13.271791756745083,176.31027105485413
48,Total Docs(3years)+Total Refs+Cites/Docs(2years)+Ref/Doc,2.713516836260182,7.532988241114918
49,Total Docs(3years)+Total Refs+Citable Docs(3years)+Ref/Doc,1.454756117978601e+18,2.1163153627961744e+36
50,Total Docs(3years)+Total Refs+Citable Docs(3years)+Cites/Docs(2years),7.104600838040345e+16,5.047535306788334e+33
51,Total Docs(3years)+Total Refs+Citable Docs(3years)+Cites/Docs(2years)+Ref/Doc,27.702964028483997,767.6240305839251
52,Total Docs(3years)+Total Refs+Total Cites(3years),3.365928762296073e+34,1.132947643285197e+69
53,Total Docs(3years)+Total Refs+Total Cites(3years)+Ref/Doc,1.3275384216976312e+18,1.7623582610834383e+36
54,Total Docs(3years)+Total Refs+Total Cites(3years)+Cites/Docs(2years),1.4185109841326932e+18,2.0121734121051195e+36
55,Total Docs(3years)+Total Refs+Total Cites(3years)+Cites/Docs(2years)+Ref/Doc,7.5598801230234605,57.321602094932715
56,Total Docs(3years)+Total Refs+Total Cites(3years)+Citable Docs(3years)+Ref/Doc,3.1133538530856454e+17,9.692972214523187e+34
57,Total Docs(3years)+Total Refs+Total Cites(3years)+Citable Docs(3years)+Cites/Docs(2years),1.2018441714293484e+18,1.4444294123986993e+36
58,Total Docs(3years)+Total Refs+Total Cites(3years)+Citable Docs(3years)+Cites/Docs(2years)+Ref/Doc,7.961761990932938e+17,6.338965400026453e+35
59,Total Docs(2017),0.8173709677419354,0.8379099193548389
60,Total Docs(2017)+Ref/Doc,1.0008767815371642,1.1437238064299964
61,Total Docs(2017)+Cites/Docs(2years),1.4602524658443587,2.2959622040919463
62,Total Docs(2017)+Cites/Docs(2years)+Ref/Doc,1.2489152670038453,1.715298224096169
63,Total Docs(2017)+Citable Docs(3years),2.5305372272317624e+16,6.4036186584058245e+32
64,Total Docs(2017)+Citable Docs(3years)+Ref/Doc,3.2881475749211067,10.981729094907008
65,Total Docs(2017)+Citable Docs(3years)+Cites/Docs(2years),100.07385221624779,10014.945712019846
66,Total Docs(2017)+Citable Docs(3years)+Cites/Docs(2years)+Ref/Doc,1.2233626676711333,1.6503449618695065
67,Total Docs(2017)+Total Cites(3years),6.5581786107025416e+16,4.300970668987631e+33
68,Total Docs(2017)+Total Cites(3years)+Ref/Doc,3.146305744928888,10.06905446101998
69,Total Docs(2017)+Total Cites(3years)+Cites/Docs(2years),5.562951785117381,31.116247183988115
70,Total Docs(2017)+Total Cites(3years)+Cites/Docs(2years)+Ref/Doc,1.1160033611315041,1.3926801505070368
71,Total Docs(2017)+Total Cites(3years)+Citable Docs(3years),1.6889079294649649e+34,2.8524099942096127e+68
72,Total Docs(2017)+Total Cites(3years)+Citable Docs(3years)+Ref/Doc,1.6829785632375773e+17,2.8324168443172156e+34
73,Total Docs(2017)+Total Cites(3years)+Citable Docs(3years)+Cites/Docs(2years),2.8644380749169875e+17,8.205005485034171e+34
74,Total Docs(2017)+Total Cites(3years)+Citable Docs(3years)+Cites/Docs(2years)+Ref/Doc,5.97868554299155,35.914495442423586
75,Total Docs(2017)+Total Refs,7.933300534550212e+17,6.293725737149497e+35
76,Total Docs(2017)+Total Refs+Ref/Doc,17.225422114302685,296.88498163635603
77,Total Docs(2017)+Total Refs+Cites/Docs(2years),68.76513165797097,4728.813146558525
78,Total Docs(2017)+Total Refs+Cites/Docs(2years)+Ref/Doc,1.0400330631609949,1.225221270306339
79,Total Docs(2017)+Total Refs+Citable Docs(3years)+Ref/Doc,1.8502176699792837e+18,3.42330542630358e+36
80,Total Docs(2017)+Total Refs+Citable Docs(3years)+Cites/Docs(2years),9.92323692489134e+17,9.847063106752717e+35
81,Total Docs(2017)+Total Refs+Citable Docs(3years)+Cites/Docs(2years)+Ref/Doc,3.3723400242490755,11.542491859599707
82,Total Docs(2017)+Total Refs+Total Cites(3years),8.205535744908377e+33,6.733081686096929e+67
83,Total Docs(2017)+Total Refs+Total Cites(3years)+Ref/Doc,2.7139887105415882e+17,7.365734720947154e+34
84,Total Docs(2017)+Total Refs+Total Cites(3years)+Cites/Docs(2years),1.778264388793424e+18,3.162224236450841e+36
85,Total Docs(2017)+Total Refs+Total Cites(3years)+Cites/Docs(2years)+Ref/Doc,426.52557687835207,181924.2375460313
86,Total Docs(2017)+Total Refs+Total Cites(3years)+Citable Docs(3years),2.04579477318251e+51,4.1852762539808974e+102
87,Total Docs(2017)+Total Refs+Total Cites(3years)+Citable Docs(3years)+Ref/Doc,6.224915701409158e+18,3.874957548965019e+37
